"년월","대여소명","대여건수","반납건수"
"202307","282. 신한은행 대림동지점","1","0"
"202307","2821.청구아파트 앞","1","1"
"202307","2822.제니스스포츠 앞","1","0"
"202307","2824.미래사랑어린이공원 앞","1","1"
"202307","284. 센트럴 푸르지오 시티 앞","3","3"
"202307","287. 영등포전화국사거리 (서강어린이공원)","2","1"
"202307","2909. 석계역 3번 출구","1","0"
"202307","291. 문래동 하이테크 시티","3","2"
"202307","2913.상계8동 주민센터","0","3"
"202307","2915.서울과학기술대학교(어학교육원)","5","13"
"202307","2917.신창중학교 후문 맞은편 버스정류장","0","1"
"202307","2919.등나무 근린공원(시립북서울미술관 앞) ","2","4"
"202307","2921.중계역 2번출구","2","0"
"202307","293. 충북 미래관","4","2"
"202307","298.KBS 연구동 건너편","2","0"
"202307","299.여의도 순복음교회","16","13"
"202307","300. 정동사거리","1","3"
"202307","3002.벽산상암스마트큐브 ","3","2"
"202307","3006. 상암월드컵파크5단지(상암중학교)","1","1"
"202307","3009. 홍대입구역 사거리","13","12"
"202307","301. 경복궁역 7번출구 앞","1","1"
"202307","3010.홍대입구역 3번출구","36","29"
"202307","3013.서울지방고용노동청 앞","6","2"
"202307","302. 경복궁역 4번출구 뒤","52","39"
"202307","303. 광화문역 1번출구 앞","9","11"
"202307","305. 종로구청 옆","9","2"
"202307","307. 서울역사박물관 앞","4","7"
"202307","308. 광화문 S타워 앞","7","4"
"202307","309. 광화문역 6번출구 옆 B","4","0"
"202307","310. 청계광장 옆","15","12"
"202307","3100. 북성초교","5","3"
"202307","3102. 연희삼거리","13","5"
"202307","3104. e편한세상 신촌4단지 앞","0","1"
"202307","3110.홍은 현대아이파크 아파트 202동 앞","3","3"
"202307","3113. 독립문 앞","1","2"
"202307","3114.충정로역 3번 출구","1","1"
"202307","3115.북아현 치안센터 인근","2","0"
"202307","3116.신촌역 4번출구","5","13"
"202307","3117.이화여대 인문관 인근","0","3"
"202307","3119.연희 브라운스톤 아파트 앞","5","3"
"202307","3120.DMC엘가아파트 앞","2","2"
"202307","3125.연희파크푸르지오아파트 앞","1","2"
"202307","3128.동신병원 맞은편","0","1"
"202307","3132.홍제교","3","0"
"202307","3134.SK리쳄블(상수도사업본부)","1","2"
"202307","314. 국립현대미술관","28","9"
"202307","316. 종각역 1번출구 앞","8","5"
"202307","318. 광교사거리 남측","0","4"
"202307","320. 을지로입구역 4번출구 앞","6","12"
"202307","3202.당산롯데캐슬프레스티지","1","0"
"202307","3205.문래현대2차","0","1"
"202307","3206.문래동 주민센터","0","1"
"202307","3207.양남사거리1","1","6"
"202307","321. KEB 하나금융그룹 명동사옥 옆","26","23"
"202307","3211.신길 래미안 프레비뉴","1","0"
"202307","3219.영등포역 1번출구","0","2"
"202307","322. 명동성당 앞","11","13"
"202307","324. 신세계백화점 본점 앞","16","12"
"202307","326. 안국역 5번출구 앞","24","18"
"202307","327. 낙원상가 옆","28","13"
"202307","328. 탑골공원 앞","7","4"
