'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-05','2176',' 보라매공원 보도육교','일일(회원)','F','50대',4,852.09,7.88,34000,215
'2018-05','2292',' 무지개아파트 앞','일일(회원)','F','50대',2,240.68,2.41,10410,157
'2018-05','2294',' 두상빌딩 앞','일일(회원)','F','50대',1,77.22,0.75,3250,24
'2018-05','2385',' 학동역','일일(회원)','F','50대',1,24.45,0.22,950,20
'2018-05','1275',' 거여초등학교 옆','일일(회원)','F','50대',1,334.3,3.11,13400,108
'2018-05','1048',' 동부기업(둔촌동)','일일(회원)','F','50대',2,155.28,1.6,6890,83
'2018-05','1049',' 강일동 10단지 아파트','일일(회원)','F','50대',4,423.74,4.64,19990,196
'2018-05','393',' 동대문역 8번 출구','일일(회원)','F','50대',1,229.81,2.8,12090,107
'2018-05','394',' 경희궁 자이 3단지','일일(회원)','F','50대',2,149.64,1.83,7880,62
'2018-05','838',' 숙대입구역 4번출구','일일(회원)','F','50대',2,550.01,6.2,26710,99
'2018-05','3522',' 사근삼거리','일일(회원)','F','50대',2,178.85,1.84,7930,68
'2018-05','322',' 명동성당 앞','일일(회원)','F','50대',1,76.19,0.69,2960,50
'2018-05','1359',' 장위뉴타운 꿈에 숲 코오롱 하늘채 앞','일일(회원)','F','50대',2,1086.28,10.16,43800,216
'2018-05','1539','19민주묘지역','일일(회원)','F','50대',1,245.04,2.56,11050,62
'2018-05','1679',' 삼육대 도서관','일일(회원)','F','50대',1,55.14,0.63,2730,19
'2018-05','427',' 성산시영아파트','일일(회원)','F','50대',3,449.16,4.04,17450,103
'2018-05','2298',' 래미안서초스위트앞','일일(회원)','F','50대',1,271.04,2.44,10530,73
'2018-05','1277',' 오금동 송파 참병원','일일(회원)','F','50대',1,0,0,0,2
'2018-05','1278',' 송파구청 교차로','일일(회원)','F','50대',4,1871.67,18.41,79340,131
'2018-05','1279',' 마천금호어울림 1차아파트 건너편','일일(회원)','F','50대',1,215.39,2.43,10460,107
'2018-05','1280',' 송파파크데일 2단지입구 앞 주차장','일일(회원)','F','50대',1,1391.35,16.3,70270,49
'2018-05','1282',' 송파소방서 맞은편(성내4교)','일일(회원)','F','50대',4,836.5,7.41,31970,181
'2018-05','1283',' 오금공원 사거리','일일(회원)','F','50대',2,107.18,0.81,3470,43
'2018-05','1285',' 위례별 유치원 뒤','일일(회원)','F','50대',1,362.42,3.27,14080,90
'2018-05','1286',' 위례중앙푸르지오 1단지 앞','일일(회원)','F','50대',4,691.33,6.87,29590,223
'2018-05','326',' 안국역 5번출구 앞','일일(회원)','F','50대',2,196.83,1.86,8000,89
'2018-05','1050','  둔촌역 3번 출입구','일일(회원)','F','50대',2,1318.54,13.35,57510,67
'2018-05','1051',' 양지시장 (용성약국앞) 입구','일일(회원)','F','50대',2,419.39,4.54,19570,148
