연월,대여소번호,이용건수,이동거리,이용시간,자치구
2018-01,1715,29,130220.0,1253,도봉구
2018-01,1716,56,352240.0,1811,도봉구
2018-01,1717,14,37310.0,247,도봉구
2018-01,1719,18,69500.0,379,도봉구
2018-01,172,184,784060.0,3847,미상
2018-01,1720,56,405930.0,2620,도봉구
2018-01,1721,56,150120.0,1142,도봉구
2018-01,173,218,610990.0,3083,서대문구
2018-01,174,44,178700.0,968,미상
2018-01,175,422,1602280.0,8544,서대문구
2018-01,176,230,1118390.0,6365,서대문구
2018-01,177,51,177450.0,1080,서대문구
2018-01,178,175,390020.0,2441,서대문구
2018-01,179,321,687420.0,4401,서대문구
2018-01,180,227,648010.0,3585,서대문구
2018-01,1804,170,480530.0,2041,금천구
2018-01,1805,59,290430.0,1687,금천구
2018-01,1806,43,108900.0,941,금천구
2018-01,1808,269,374950.0,2108,금천구
2018-01,1809,149,303120.0,1668,금천구
2018-01,181,21,93990.0,857,마포구
2018-01,1812,131,337520.0,2333,금천구
2018-01,1814,113,193530.0,1640,금천구
2018-01,1816,25,183760.0,1500,금천구
2018-01,1819,57,324260.0,1681,금천구
2018-01,182,112,421680.0,2778,마포구
2018-01,1820,20,123130.0,950,금천구
2018-01,1821,36,102400.0,780,금천구
2018-01,1822,31,192340.0,1205,금천구
2018-01,1823,51,249030.0,1507,금천구
2018-01,1824,97,555240.0,2115,금천구
2018-01,1825,20,94930.0,564,금천구
2018-01,1826,46,131980.0,1091,금천구
2018-01,1827,126,1131170.0,5188,금천구
2018-01,1828,49,193900.0,1283,금천구
2018-01,1829,81,174540.0,864,금천구
2018-01,183,538,972300.0,6132,마포구
2018-01,1830,95,340190.0,1891,금천구
2018-01,1831,74,246660.0,1289,금천구
2018-01,1833,115,327440.0,1725,금천구
2018-01,1834,95,392710.0,2142,금천구
2018-01,1835,67,190230.0,922,금천구
2018-01,1836,18,51120.0,295,금천구
2018-01,184,276,773360.0,4607,마포구
2018-01,1840,42,132890.0,752,금천구
2018-01,1841,42,120990.0,730,금천구
2018-01,1842,17,134420.0,427,금천구
2018-01,1843,43,119510.0,498,금천구
2018-01,1845,64,299560.0,1085,금천구
2018-01,185,303,1144670.0,4434,마포구
2018-01,186,103,537580.0,3626,마포구
2018-01,188,109,531430.0,2357,서대문구
2018-01,1901,82,223950.0,1811,구로구
2018-01,1904,156,632050.0,3482,구로구
2018-01,1906,462,2450600.0,12033,구로구
2018-01,1907,80,273750.0,1226,구로구
2018-01,1908,242,868470.0,5581,구로구
2018-01,191,146,342750.0,1778,서대문구
2018-01,1910,14,54060.0,424,구로구
2018-01,1911,438,1860720.0,10071,구로구
2018-01,1912,87,462100.0,2474,구로구
2018-01,1913,75,156520.0,911,구로구
2018-01,1914,111,489610.0,2652,구로구
2018-01,1916,33,90960.0,530,구로구
2018-01,192,195,512130.0,3011,서대문구
2018-01,1920,94,375590.0,2252,구로구
2018-01,1924,62,80470.0,420,구로구
2018-01,1925,191,981450.0,4435,구로구
2018-01,1928,105,417270.0,2220,구로구
2018-01,1929,58,247590.0,1639,구로구
2018-01,1930,50,246690.0,2283,구로구
2018-01,1931,134,860080.0,4387,구로구
2018-01,1933,65,262440.0,1573,구로구
2018-01,1936,54,256530.0,1304,구로구
2018-01,1937,44,151140.0,1044,구로구
2018-01,194,290,914950.0,4570,서대문구
2018-01,1940,58,264600.0,1641,미상
2018-01,1941,61,233890.0,1178,구로구
2018-01,1943,27,175330.0,808,구로구
2018-01,1946,133,485200.0,2513,구로구
2018-01,195,203,582930.0,3211,서대문구
2018-01,1951,60,204240.0,1092,구로구
2018-01,1952,74,232360.0,1063,구로구
2018-01,1953,110,308130.0,1465,구로구
2018-01,1955,170,608250.0,3230,구로구
2018-01,1956,41,310420.0,1098,구로구
2018-01,1957,70,332940.0,1452,구로구
2018-01,1958,98,362900.0,1942,구로구
2018-01,196,127,342530.0,2585,서대문구
2018-01,1960,113,410310.0,2322,구로구
