'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-02','144',' 공덕역 8번출구','일일(회원)','M','30대',7,674.54,4.69,20220,223
'2018-02','145',' 공덕역 5번출구','일일(회원)','M','30대',1,54.49,0.4,1720,10
'2018-02','147',' 마포역 4번출구 뒤','일일(회원)','M','30대',3,1454.37,9.79,42230,247
'2018-02','148',' 용강동 주민센터 앞','일일(회원)','M','30대',4,452.87,4,17220,100
'2018-02','150',' 서강대역 2번출구 앞','일일(회원)','M','30대',5,482.84,3.65,15740,145
'2018-02','151',' 망원1동주민센터','일일(회원)','M','30대',7,653.17,5.46,23500,127
'2018-02','152',' 마포구민체육센터 앞','일일(회원)','M','30대',15,2062.19,16.65,71650,495
'2018-02','153',' 성산2교 사거리','일일(회원)','M','30대',6,394.04,3.14,13550,82
'2018-02','154',' 마포구청역 ','일일(회원)','M','30대',5,511.08,4,17220,255
'2018-02','156',' 서울서부지방법원 앞','일일(회원)','M','30대',1,55.41,0.49,2120,12
'2018-02','157',' 애오개역 4번출구 앞','일일(회원)','M','30대',5,563.2,4.74,20420,179
'2018-02','158',' 독립문 어린이 공원','일일(회원)','M','30대',2,168.06,1.38,5940,35
'2018-02','159',' 이대역 4번 출구','일일(회원)','M','30대',1,308.25,2.26,9730,55
'2018-02','120',' 신수동 사거리','일일(회원)','M','30대',3,112.55,0.83,3580,139
'2018-02','164',' 북가좌1동 주민센터 ','일일(회원)','M','30대',2,164.74,1.86,8000,31
'2018-02','166',' 가재울 초등학교','일일(회원)','M','30대',3,376.52,3.22,13880,80
'2018-02','168',' 남가좌동 사거리','일일(회원)','M','30대',1,98.87,0.79,3420,102
'2018-02','170',' 가재울 뉴타운 주유소 옆','일일(회원)','M','30대',3,388.41,2.6,11220,95
'2018-02','171',' 임광빌딩 앞','일일(회원)','M','30대',2,98.34,0.72,3080,16
'2018-02','121',' 마포소방서 앞','일일(회원)','M','30대',3,138.37,1.18,5060,38
'2018-02','173',' 서대문역 8번출구 앞','일일(회원)','M','30대',2,871.25,7.62,32860,27
'2018-02','175',' 홍연2교옆','일일(회원)','M','30대',7,470.35,3.8,16360,82
'2018-02','179',' 가좌역 4번출구 앞','일일(회원)','M','30대',2,73.18,0.54,2310,35
'2018-02','518',' 청계천 박물관 앞','일일(회원)','M','30대',1,306.71,2.64,11390,73
'2018-02','519',' 양지사거리','일일(회원)','M','30대',1,411.21,2.74,11800,52
'2018-02','520',' 상왕십리역 4번 출구 앞','일일(회원)','M','30대',2,180.73,1.35,5860,69
'2018-02','521',' 왕십리역 11번 출구 앞','일일(회원)','M','30대',8,1843.36,12.97,55940,407
'2018-02','524',' 래미안금호하이리버 아파트 102동 옆','일일(회원)','M','30대',1,354.54,2.14,9230,39
'2018-02','525',' 한양대병원사거리','일일(회원)','M','30대',5,407.54,2.84,12230,115
'2018-02','529',' 장한평역 8번 출구 앞','일일(회원)','M','30대',18,1934.22,16.18,69790,351
'2018-02','530',' 청계벽산아파트 앞','일일(회원)','M','30대',3,117.15,0.97,4170,37
'2018-02','535',' 응봉삼거리','일일(회원)','M','30대',3,986.02,5.65,24340,111
'2018-02','536',' 행당역 2번출구 앞','일일(회원)','M','30대',2,592.77,4.74,20400,80
'2018-02','537',' 한양대후문역 부근','일일(회원)','M','30대',2,184.47,1.63,7000,31
'2018-02','123',' 문화촌 공원','일일(회원)','M','30대',6,1286.21,9.99,43060,278
'2018-02','538',' 답십리역 8번출구 앞','일일(회원)','M','30대',1,57.56,0.37,1580,6
